,Reference,Module,Distance
76,VCE_3_arg0_bash.cpp,line_1570.c,0.34570781873109024
77,VCE_3_arg0_bash.cpp,line_1636.c,0.3479905925599265
78,VCE_3_arg0_bash.cpp,line_1798.c,0.3437975857293908
79,VCE_3_arg0_bash.cpp,line_1865.c,0.3452555109358354
80,VCE_3_arg0_bash.cpp,line_5933.c,0.36325356821317034
81,VCE_3_arg0_bash.cpp,line_5994.c,0.38984916012489135
82,VCE_3_arg0_bash.cpp,line_8142.c,0.3615249325435743
83,VCE_3_arg0_bash.cpp,line_8797.c,0.37287862052115817
84,SCE_4_int_values.cpp,line_126.c,0.33877355367469797
85,SCE_4_int_values.cpp,line_197.c,0.3286477814893891
86,SCE_4_int_values.cpp,line_534.c,0.3472528438826472
87,SCE_4_int_values.cpp,line_594.c,0.33517300054662313
88,SCE_4_int_values.cpp,line_1043.c,0.33653534950214736
89,SCE_4_int_values.cpp,line_1106.c,0.34440542935622664
90,SCE_4_int_values.cpp,line_1570.c,0.319384652759785
91,SCE_4_int_values.cpp,line_1636.c,0.3332795534700661
92,SCE_4_int_values.cpp,line_1798.c,0.3241685521098554
93,SCE_4_int_values.cpp,line_1865.c,0.33951565583444177
94,SCE_4_int_values.cpp,line_5933.c,0.3265166225759524
95,SCE_4_int_values.cpp,line_5994.c,0.3449765608175418
96,SCE_4_int_values.cpp,line_8142.c,0.3461854394167351
97,SCE_4_int_values.cpp,line_8797.c,0.3284080976903061
98,SCE_5_int_enumeration.cpp,line_126.c,0.3824785523569726
99,SCE_5_int_enumeration.cpp,line_197.c,0.35884800258974703
100,SCE_5_int_enumeration.cpp,line_534.c,0.37731144389460247
101,SCE_5_int_enumeration.cpp,line_594.c,0.37734501719027325
102,SCE_5_int_enumeration.cpp,line_1043.c,0.3842140527631468
103,SCE_5_int_enumeration.cpp,line_1106.c,0.3831933461265089
104,SCE_5_int_enumeration.cpp,line_1570.c,0.3743673913965999
105,SCE_5_int_enumeration.cpp,line_1636.c,0.3635399275066269
106,SCE_5_int_enumeration.cpp,line_1798.c,0.37310797217958147
107,SCE_5_int_enumeration.cpp,line_1865.c,0.3666883987861107
108,SCE_5_int_enumeration.cpp,line_5933.c,0.36316896841019564
109,SCE_5_int_enumeration.cpp,line_5994.c,0.3733246860025281
110,SCE_5_int_enumeration.cpp,line_8142.c,0.3657598620341407
111,SCE_5_int_enumeration.cpp,line_8797.c,0.3795203100029939
112,SCE_6_compiled_regex.cpp,line_126.c,0.32086170642835965
113,SCE_6_compiled_regex.cpp,line_197.c,0.30872663406954826
114,SCE_6_compiled_regex.cpp,line_534.c,0.32538223909900565
115,SCE_6_compiled_regex.cpp,line_594.c,0.31635357672167674
116,SCE_6_compiled_regex.cpp,line_1043.c,0.3285096598227467
117,SCE_6_compiled_regex.cpp,line_1106.c,0.33555103714013323
118,SCE_6_compiled_regex.cpp,line_1570.c,0.31437834177730195
119,SCE_6_compiled_regex.cpp,line_1636.c,0.3142397679088099
120,SCE_6_compiled_regex.cpp,line_1798.c,0.30633094877087097
121,SCE_6_compiled_regex.cpp,line_1865.c,0.3079863675824004
122,SCE_6_compiled_regex.cpp,line_5933.c,0.30881279304312526
123,SCE_6_compiled_regex.cpp,line_5994.c,0.32641634441745027
124,SCE_6_compiled_regex.cpp,line_8142.c,0.30289246271916526
125,SCE_6_compiled_regex.cpp,line_8797.c,0.32765818281754067
126,VCE_4_fails_to_check_for_negative.cpp,line_126.c,0.3750176371295183
127,VCE_4_fails_to_check_for_negative.cpp,line_197.c,0.36835373974354624
128,VCE_4_fails_to_check_for_negative.cpp,line_534.c,0.3733896632104139
129,VCE_4_fails_to_check_for_negative.cpp,line_594.c,0.3598101690055553
130,VCE_4_fails_to_check_for_negative.cpp,line_1043.c,0.35993443611036646
131,VCE_4_fails_to_check_for_negative.cpp,line_1106.c,0.3715012475684708
132,VCE_4_fails_to_check_for_negative.cpp,line_1570.c,0.3527829846106284
133,VCE_4_fails_to_check_for_negative.cpp,line_1636.c,0.37998233452769803
134,VCE_4_fails_to_check_for_negative.cpp,line_1798.c,0.3434422693882495
135,VCE_4_fails_to_check_for_negative.cpp,line_1865.c,0.3694335931658983
136,VCE_4_fails_to_check_for_negative.cpp,line_5933.c,0.3775009178617099
137,VCE_4_fails_to_check_for_negative.cpp,line_5994.c,0.39243597316594003
138,VCE_4_fails_to_check_for_negative.cpp,line_8142.c,0.3541175169314321
139,VCE_4_fails_to_check_for_negative.cpp,line_8797.c,0.3740404537027503
140,SCE_7_user_input_validation.cpp,line_126.c,0.40417679395209827
141,SCE_7_user_input_validation.cpp,line_197.c,0.40743772786715615
142,SCE_7_user_input_validation.cpp,line_534.c,0.4132206069520372
143,SCE_7_user_input_validation.cpp,line_594.c,0.403440348447377
144,SCE_7_user_input_validation.cpp,line_1043.c,0.4119322897073209
145,SCE_7_user_input_validation.cpp,line_1106.c,0.38062299772736896
146,SCE_7_user_input_validation.cpp,line_1570.c,0.4018709087363602
147,SCE_7_user_input_validation.cpp,line_1636.c,0.36999282285379276
148,SCE_7_user_input_validation.cpp,line_1798.c,0.40087664308256854
149,SCE_7_user_input_validation.cpp,line_1865.c,0.3677980997833883
150,SCE_7_user_input_validation.cpp,line_5933.c,0.41206245189151247
151,SCE_7_user_input_validation.cpp,line_5994.c,0.4131902205484752
152,SCE_7_user_input_validation.cpp,line_8142.c,0.35580652415145053
153,SCE_7_user_input_validation.cpp,line_8797.c,0.398231510932504
154,SCE_8_user_bank_account_validation.cpp,line_126.c,0.4154170206009924
155,SCE_8_user_bank_account_validation.cpp,line_197.c,0.4062565637369999
156,SCE_8_user_bank_account_validation.cpp,line_534.c,0.4026060217878672
157,SCE_8_user_bank_account_validation.cpp,line_594.c,0.4119988073369053
158,SCE_8_user_bank_account_validation.cpp,line_1043.c,0.40422596974590175
159,SCE_8_user_bank_account_validation.cpp,line_1106.c,0.4014570885165347
160,SCE_8_user_bank_account_validation.cpp,line_1570.c,0.38759554534056184
161,SCE_8_user_bank_account_validation.cpp,line_1636.c,0.38747731024100407
162,SCE_8_user_bank_account_validation.cpp,line_1798.c,0.39244056333833366
163,SCE_8_user_bank_account_validation.cpp,line_1865.c,0.3973281848606185
164,SCE_8_user_bank_account_validation.cpp,line_5933.c,0.3942097159610414
165,SCE_8_user_bank_account_validation.cpp,line_5994.c,0.40314918947719425
166,SCE_8_user_bank_account_validation.cpp,line_8142.c,0.3710531705876259
167,SCE_8_user_bank_account_validation.cpp,line_8797.c,0.4261148583771196
168,VCE_5_null_carries_information.cpp,line_126.c,0.36521808221685137
169,VCE_5_null_carries_information.cpp,line_197.c,0.3438110350129857
170,VCE_5_null_carries_information.cpp,line_534.c,0.3532898853811751
171,VCE_5_null_carries_information.cpp,line_594.c,0.34306677497616744
172,VCE_5_null_carries_information.cpp,line_1043.c,0.36866381979499663
173,VCE_5_null_carries_information.cpp,line_1106.c,0.36679960686952673
174,VCE_5_null_carries_information.cpp,line_1570.c,0.3640486786157755
175,VCE_5_null_carries_information.cpp,line_1636.c,0.37057471924085406
176,VCE_5_null_carries_information.cpp,line_1798.c,0.3648621951615688
177,VCE_5_null_carries_information.cpp,line_1865.c,0.3710643689767902
178,VCE_5_null_carries_information.cpp,line_5933.c,0.3782697064443742
179,VCE_5_null_carries_information.cpp,line_5994.c,0.38301311485679534
180,VCE_5_null_carries_information.cpp,line_8142.c,0.3657621109363429
181,VCE_5_null_carries_information.cpp,line_8797.c,0.3562567946467279
182,VCE_6_unvalidated_does_something.cpp,line_126.c,0.41102706702313285
183,VCE_6_unvalidated_does_something.cpp,line_197.c,0.39913394079175113
184,VCE_6_unvalidated_does_something.cpp,line_534.c,0.4097991085742141
185,VCE_6_unvalidated_does_something.cpp,line_594.c,0.4098990753101144
186,VCE_6_unvalidated_does_something.cpp,line_1043.c,0.4224956994773851
187,VCE_6_unvalidated_does_something.cpp,line_1106.c,0.4304992144819332
188,VCE_6_unvalidated_does_something.cpp,line_1570.c,0.4012260064488685
189,VCE_6_unvalidated_does_something.cpp,line_1636.c,0.4029737248291767
190,VCE_6_unvalidated_does_something.cpp,line_1798.c,0.3962616948288247
191,VCE_6_unvalidated_does_something.cpp,line_1865.c,0.39975147521791365
192,VCE_6_unvalidated_does_something.cpp,line_5933.c,0.41111328491788346
193,VCE_6_unvalidated_does_something.cpp,line_5994.c,0.4072676938764809
194,VCE_6_unvalidated_does_something.cpp,line_8142.c,0.3883804296103347
195,VCE_6_unvalidated_does_something.cpp,line_8797.c,0.41241609291771386
196,SCE_9_unvalidated_does_something_with_logging.cpp,line_126.c,0.38452183357366554
197,SCE_9_unvalidated_does_something_with_logging.cpp,line_197.c,0.37397521852186444
198,SCE_9_unvalidated_does_something_with_logging.cpp,line_534.c,0.3833038430868523
199,SCE_9_unvalidated_does_something_with_logging.cpp,line_594.c,0.3781552200066157
