,Reference,Module,Distance
78,SCE_4_int_values.cpp,internal.c,0.668903464649933
79,SCE_4_int_values.cpp,keys.c,0.7259569577332883
80,SCE_4_int_values.cpp,ocsp.c,0.628811785202475
81,SCE_4_int_values.cpp,pk.c,0.6019567611732399
82,SCE_4_int_values.cpp,quic.c,0.6307166064180159
83,SCE_4_int_values.cpp,sniffer.c,0.7015241169780377
84,SCE_4_int_values.cpp,ssl.c,0.5777417146774007
85,SCE_4_int_values.cpp,tls.c,0.7067544496286764
86,SCE_4_int_values.cpp,tls13.c,0.7158158678176032
87,SCE_4_int_values.cpp,wolfio.c,0.6117365103355821
88,SCE_4_int_values.cpp,x509.c,0.5513011362154014
89,SCE_4_int_values.cpp,x509_str.c,0.6293730456488913
90,SCE_5_int_enumeration.cpp,bio.c,0.6555474068723774
91,SCE_5_int_enumeration.cpp,conf.c,0.65508885560068
92,SCE_5_int_enumeration.cpp,crl.c,0.6718121095560841
93,SCE_5_int_enumeration.cpp,dtls.c,0.7509857016494657
94,SCE_5_int_enumeration.cpp,dtls13.c,0.7608210747527279
95,SCE_5_int_enumeration.cpp,include.am,0.8030014146981364
96,SCE_5_int_enumeration.cpp,internal.c,0.7422864197897041
97,SCE_5_int_enumeration.cpp,keys.c,0.7807191406607791
98,SCE_5_int_enumeration.cpp,ocsp.c,0.6912651501619858
99,SCE_5_int_enumeration.cpp,pk.c,0.697973898862263
100,SCE_5_int_enumeration.cpp,quic.c,0.6953809615598795
101,SCE_5_int_enumeration.cpp,sniffer.c,0.7585186346166206
102,SCE_5_int_enumeration.cpp,ssl.c,0.6679541790733989
103,SCE_5_int_enumeration.cpp,tls.c,0.7580700669978346
104,SCE_5_int_enumeration.cpp,tls13.c,0.7719345259353653
105,SCE_5_int_enumeration.cpp,wolfio.c,0.6741959540245133
106,SCE_5_int_enumeration.cpp,x509.c,0.6410026346248413
107,SCE_5_int_enumeration.cpp,x509_str.c,0.6846875700912154
108,SCE_6_compiled_regex.cpp,bio.c,0.5658925259499803
109,SCE_6_compiled_regex.cpp,conf.c,0.5994496072562905
110,SCE_6_compiled_regex.cpp,crl.c,0.5491525986938295
111,SCE_6_compiled_regex.cpp,dtls.c,0.6297743416859536
112,SCE_6_compiled_regex.cpp,dtls13.c,0.6618847114236422
113,SCE_6_compiled_regex.cpp,include.am,0.6976811205407113
114,SCE_6_compiled_regex.cpp,internal.c,0.657186065138755
115,SCE_6_compiled_regex.cpp,keys.c,0.6781342276240145
116,SCE_6_compiled_regex.cpp,ocsp.c,0.5241335455629537
117,SCE_6_compiled_regex.cpp,pk.c,0.5685993602055038
118,SCE_6_compiled_regex.cpp,quic.c,0.6210059306105411
119,SCE_6_compiled_regex.cpp,sniffer.c,0.5988384910451818
120,SCE_6_compiled_regex.cpp,ssl.c,0.557556331876442
121,SCE_6_compiled_regex.cpp,tls.c,0.6418730150503442
122,SCE_6_compiled_regex.cpp,tls13.c,0.6796617954186082
123,SCE_6_compiled_regex.cpp,wolfio.c,0.562284415343319
124,SCE_6_compiled_regex.cpp,x509.c,0.5241748735611367
125,SCE_6_compiled_regex.cpp,x509_str.c,0.5580932104263929
126,SCE_7_user_input_validation.cpp,bio.c,0.553183625557842
127,SCE_7_user_input_validation.cpp,conf.c,0.6038670388206793
128,SCE_7_user_input_validation.cpp,crl.c,0.5697579444599277
129,SCE_7_user_input_validation.cpp,dtls.c,0.691133730948033
130,SCE_7_user_input_validation.cpp,dtls13.c,0.6393403175421548
131,SCE_7_user_input_validation.cpp,include.am,0.6704872932239302
132,SCE_7_user_input_validation.cpp,internal.c,0.603431074987598
133,SCE_7_user_input_validation.cpp,keys.c,0.6608676934391671
134,SCE_7_user_input_validation.cpp,ocsp.c,0.6436482780560471
135,SCE_7_user_input_validation.cpp,pk.c,0.6146341783366541
136,SCE_7_user_input_validation.cpp,quic.c,0.596209325387091
137,SCE_7_user_input_validation.cpp,sniffer.c,0.6113748326740858
138,SCE_7_user_input_validation.cpp,ssl.c,0.5731269448887376
139,SCE_7_user_input_validation.cpp,tls.c,0.6312078775539671
140,SCE_7_user_input_validation.cpp,tls13.c,0.6306673260259608
141,SCE_7_user_input_validation.cpp,wolfio.c,0.586821412105602
142,SCE_7_user_input_validation.cpp,x509.c,0.5498287551264049
143,SCE_7_user_input_validation.cpp,x509_str.c,0.632324064755738
144,SCE_8_user_bank_account_validation.cpp,bio.c,0.5864574373986033
145,SCE_8_user_bank_account_validation.cpp,conf.c,0.5902271196250612
146,SCE_8_user_bank_account_validation.cpp,crl.c,0.6046904229868091
147,SCE_8_user_bank_account_validation.cpp,dtls.c,0.7511103863674573
148,SCE_8_user_bank_account_validation.cpp,dtls13.c,0.7060762252516253
149,SCE_8_user_bank_account_validation.cpp,include.am,0.7720225137193854
150,SCE_8_user_bank_account_validation.cpp,internal.c,0.6580983970608072
151,SCE_8_user_bank_account_validation.cpp,keys.c,0.7119818398019093
152,SCE_8_user_bank_account_validation.cpp,ocsp.c,0.6047213149870543
153,SCE_8_user_bank_account_validation.cpp,pk.c,0.5933301975224452
154,SCE_8_user_bank_account_validation.cpp,quic.c,0.6339441635077399
155,SCE_8_user_bank_account_validation.cpp,sniffer.c,0.6886508170917869
156,SCE_8_user_bank_account_validation.cpp,ssl.c,0.587638601449322
157,SCE_8_user_bank_account_validation.cpp,tls.c,0.6676370457639662
158,SCE_8_user_bank_account_validation.cpp,tls13.c,0.6878520085438533
159,SCE_8_user_bank_account_validation.cpp,wolfio.c,0.5979298123087985
160,SCE_8_user_bank_account_validation.cpp,x509.c,0.5877160141414308
161,SCE_8_user_bank_account_validation.cpp,x509_str.c,0.6023206453115006
162,SCE_9_unvalidated_does_something_with_logging.cpp,bio.c,0.6769787271862191
163,SCE_9_unvalidated_does_something_with_logging.cpp,conf.c,0.6607929101677772
164,SCE_9_unvalidated_does_something_with_logging.cpp,crl.c,0.6719452613928588
165,SCE_9_unvalidated_does_something_with_logging.cpp,dtls.c,0.744286886145215
166,SCE_9_unvalidated_does_something_with_logging.cpp,dtls13.c,0.7291408446293155
167,SCE_9_unvalidated_does_something_with_logging.cpp,include.am,0.7471270203833604
168,SCE_9_unvalidated_does_something_with_logging.cpp,internal.c,0.7266501919172609
169,SCE_9_unvalidated_does_something_with_logging.cpp,keys.c,0.7499002569317864
170,SCE_9_unvalidated_does_something_with_logging.cpp,ocsp.c,0.6639200725895391
171,SCE_9_unvalidated_does_something_with_logging.cpp,pk.c,0.7060869075437775
172,SCE_9_unvalidated_does_something_with_logging.cpp,quic.c,0.6999903705698542
173,SCE_9_unvalidated_does_something_with_logging.cpp,sniffer.c,0.7098478466356821
174,SCE_9_unvalidated_does_something_with_logging.cpp,ssl.c,0.6666190594329751
175,SCE_9_unvalidated_does_something_with_logging.cpp,tls.c,0.7073081260857188
176,SCE_9_unvalidated_does_something_with_logging.cpp,tls13.c,0.7533081030065063
177,SCE_9_unvalidated_does_something_with_logging.cpp,wolfio.c,0.6506360415067451
178,SCE_9_unvalidated_does_something_with_logging.cpp,x509.c,0.6456496604838386
179,SCE_9_unvalidated_does_something_with_logging.cpp,x509_str.c,0.687244055406088
180,VCE_1_flag_no_validation.cpp,bio.c,0.7058240721951928
181,VCE_1_flag_no_validation.cpp,conf.c,0.6991501380767324
182,VCE_1_flag_no_validation.cpp,crl.c,0.7182930452805425
183,VCE_1_flag_no_validation.cpp,dtls.c,0.823490518286919
184,VCE_1_flag_no_validation.cpp,dtls13.c,0.7822498367624691
185,VCE_1_flag_no_validation.cpp,include.am,0.8308214819404524
186,VCE_1_flag_no_validation.cpp,internal.c,0.7180815716134246
187,VCE_1_flag_no_validation.cpp,keys.c,0.7678326755455073
188,VCE_1_flag_no_validation.cpp,ocsp.c,0.7442645969924142
189,VCE_1_flag_no_validation.cpp,pk.c,0.7268095152045329
190,VCE_1_flag_no_validation.cpp,quic.c,0.7016280378560301
191,VCE_1_flag_no_validation.cpp,sniffer.c,0.7305818368015135
192,VCE_1_flag_no_validation.cpp,ssl.c,0.6885520606470723
193,VCE_1_flag_no_validation.cpp,tls.c,0.7419260900308475
194,VCE_1_flag_no_validation.cpp,tls13.c,0.759787489600841
195,VCE_1_flag_no_validation.cpp,wolfio.c,0.7064246104326786
196,VCE_1_flag_no_validation.cpp,x509.c,0.6723125921244315
197,VCE_1_flag_no_validation.cpp,x509_str.c,0.7309327739405547
198,VCE_2_shell_escape_bash.cpp,bio.c,0.4144209529286943
199,VCE_2_shell_escape_bash.cpp,conf.c,0.48136918174514887
200,VCE_2_shell_escape_bash.cpp,crl.c,0.48900085186895415
201,VCE_2_shell_escape_bash.cpp,dtls.c,0.4656525784766953
202,VCE_2_shell_escape_bash.cpp,dtls13.c,0.46039223951283925
203,VCE_2_shell_escape_bash.cpp,include.am,0.6904056397114118
204,VCE_2_shell_escape_bash.cpp,internal.c,0.5338856137971449
205,VCE_2_shell_escape_bash.cpp,keys.c,0.6186340387927742
206,VCE_2_shell_escape_bash.cpp,ocsp.c,0.5059824083776363
207,VCE_2_shell_escape_bash.cpp,pk.c,0.4818218479508264
208,VCE_2_shell_escape_bash.cpp,quic.c,0.4864681425520372
209,VCE_2_shell_escape_bash.cpp,sniffer.c,0.3969099889679415
210,VCE_2_shell_escape_bash.cpp,ssl.c,0.4639976844104483
211,VCE_2_shell_escape_bash.cpp,tls.c,0.471094782296273
212,VCE_2_shell_escape_bash.cpp,tls13.c,0.5014842813701907
213,VCE_2_shell_escape_bash.cpp,wolfio.c,0.4005406140233905
214,VCE_2_shell_escape_bash.cpp,x509.c,0.4509125147276305
215,VCE_2_shell_escape_bash.cpp,x509_str.c,0.4967565227167896
216,VCE_3_arg0_bash.cpp,bio.c,0.7372595800491045
217,VCE_3_arg0_bash.cpp,conf.c,0.7714212755319163
218,VCE_3_arg0_bash.cpp,crl.c,0.7396904343704852
219,VCE_3_arg0_bash.cpp,dtls.c,0.7479186449811873
220,VCE_3_arg0_bash.cpp,dtls13.c,0.8009260107141668
221,VCE_3_arg0_bash.cpp,include.am,0.8165247525115982
222,VCE_3_arg0_bash.cpp,internal.c,0.8117194336354172
223,VCE_3_arg0_bash.cpp,keys.c,0.8141445648226369
224,VCE_3_arg0_bash.cpp,ocsp.c,0.7160912171210232
225,VCE_3_arg0_bash.cpp,pk.c,0.741989054325223
226,VCE_3_arg0_bash.cpp,quic.c,0.7860604389124682
227,VCE_3_arg0_bash.cpp,sniffer.c,0.7371049267163067
228,VCE_3_arg0_bash.cpp,ssl.c,0.7397618879164738
229,VCE_3_arg0_bash.cpp,tls.c,0.7867311330214007
230,VCE_3_arg0_bash.cpp,tls13.c,0.822466744036908
231,VCE_3_arg0_bash.cpp,wolfio.c,0.7366190248710454
232,VCE_3_arg0_bash.cpp,x509.c,0.7280200008678195
233,VCE_3_arg0_bash.cpp,x509_str.c,0.7191660852761657
234,VCE_4_fails_to_check_for_negative.cpp,bio.c,0.6497958964522723
235,VCE_4_fails_to_check_for_negative.cpp,conf.c,0.6881558694033696
236,VCE_4_fails_to_check_for_negative.cpp,crl.c,0.6395412854325563
237,VCE_4_fails_to_check_for_negative.cpp,dtls.c,0.7015859371489928
238,VCE_4_fails_to_check_for_negative.cpp,dtls13.c,0.7141063712884755
239,VCE_4_fails_to_check_for_negative.cpp,include.am,0.7269793034763616
240,VCE_4_fails_to_check_for_negative.cpp,internal.c,0.6939225332389167
241,VCE_4_fails_to_check_for_negative.cpp,keys.c,0.7090454571613073
242,VCE_4_fails_to_check_for_negative.cpp,ocsp.c,0.6418486113358852
243,VCE_4_fails_to_check_for_negative.cpp,pk.c,0.7122215882462237
244,VCE_4_fails_to_check_for_negative.cpp,quic.c,0.6733522843918538
245,VCE_4_fails_to_check_for_negative.cpp,sniffer.c,0.6368100958839055
246,VCE_4_fails_to_check_for_negative.cpp,ssl.c,0.6470376921005434
247,VCE_4_fails_to_check_for_negative.cpp,tls.c,0.7127140887477503
248,VCE_4_fails_to_check_for_negative.cpp,tls13.c,0.7321623360759119
249,VCE_4_fails_to_check_for_negative.cpp,wolfio.c,0.5994168669278587
250,VCE_4_fails_to_check_for_negative.cpp,x509.c,0.6353959899172534
251,VCE_4_fails_to_check_for_negative.cpp,x509_str.c,0.6895081709115072
252,VCE_5_null_carries_information.cpp,bio.c,0.6860531169391755
253,VCE_5_null_carries_information.cpp,conf.c,0.6987141084033606
254,VCE_5_null_carries_information.cpp,crl.c,0.7193456690457569
255,VCE_5_null_carries_information.cpp,dtls.c,0.7358067463156791
256,VCE_5_null_carries_information.cpp,dtls13.c,0.7445435222745149
257,VCE_5_null_carries_information.cpp,include.am,0.8762016404183359
258,VCE_5_null_carries_information.cpp,internal.c,0.7691926735492121
259,VCE_5_null_carries_information.cpp,keys.c,0.7888825250594087
260,VCE_5_null_carries_information.cpp,ocsp.c,0.7053360070139225
261,VCE_5_null_carries_information.cpp,pk.c,0.7366799476271131
262,VCE_5_null_carries_information.cpp,quic.c,0.7101665847777092
263,VCE_5_null_carries_information.cpp,sniffer.c,0.6862201040546902
264,VCE_5_null_carries_information.cpp,ssl.c,0.6962281053720625
265,VCE_5_null_carries_information.cpp,tls.c,0.7547831533851261
266,VCE_5_null_carries_information.cpp,tls13.c,0.7823354009233712
267,VCE_5_null_carries_information.cpp,wolfio.c,0.6501240538983564
268,VCE_5_null_carries_information.cpp,x509.c,0.6927132880468971
269,VCE_5_null_carries_information.cpp,x509_str.c,0.7279326301785154
270,VCE_6_unvalidated_does_something.cpp,bio.c,0.8034503021648599
271,VCE_6_unvalidated_does_something.cpp,conf.c,0.7793998578509945
272,VCE_6_unvalidated_does_something.cpp,crl.c,0.8033077564793419
273,VCE_6_unvalidated_does_something.cpp,dtls.c,0.8543634317484519
274,VCE_6_unvalidated_does_something.cpp,dtls13.c,0.8444874835297648
275,VCE_6_unvalidated_does_something.cpp,include.am,0.8856336684043353
276,VCE_6_unvalidated_does_something.cpp,internal.c,0.8420127137488767
277,VCE_6_unvalidated_does_something.cpp,keys.c,0.8671272129907505
278,VCE_6_unvalidated_does_something.cpp,ocsp.c,0.8035088106338353
279,VCE_6_unvalidated_does_something.cpp,pk.c,0.8166941785846357
280,VCE_6_unvalidated_does_something.cpp,quic.c,0.8224125812759986
281,VCE_6_unvalidated_does_something.cpp,sniffer.c,0.8411269689441443
282,VCE_6_unvalidated_does_something.cpp,ssl.c,0.7987835216417711
283,VCE_6_unvalidated_does_something.cpp,tls.c,0.8272987623628565
284,VCE_6_unvalidated_does_something.cpp,tls13.c,0.8582339955770468
285,VCE_6_unvalidated_does_something.cpp,wolfio.c,0.7954751522044853
286,VCE_6_unvalidated_does_something.cpp,x509.c,0.7816541068954544
287,VCE_6_unvalidated_does_something.cpp,x509_str.c,0.8103468722610953
288,VCE_7_unvalidated_multithreading.cpp,bio.c,0.7750465282513376
289,VCE_7_unvalidated_multithreading.cpp,conf.c,0.7507161352195936
290,VCE_7_unvalidated_multithreading.cpp,crl.c,0.7741899935352894
291,VCE_7_unvalidated_multithreading.cpp,dtls.c,0.8470097248473247
292,VCE_7_unvalidated_multithreading.cpp,dtls13.c,0.8268703382626912
293,VCE_7_unvalidated_multithreading.cpp,include.am,0.8630136406764959
294,VCE_7_unvalidated_multithreading.cpp,internal.c,0.8141560119662397
295,VCE_7_unvalidated_multithreading.cpp,keys.c,0.8424226776543917
296,VCE_7_unvalidated_multithreading.cpp,ocsp.c,0.7878013918049687
297,VCE_7_unvalidated_multithreading.cpp,pk.c,0.7874972257967755
298,VCE_7_unvalidated_multithreading.cpp,quic.c,0.7841794911310451
299,VCE_7_unvalidated_multithreading.cpp,sniffer.c,0.8110811452063552
300,VCE_7_unvalidated_multithreading.cpp,ssl.c,0.7714432486455605
301,VCE_7_unvalidated_multithreading.cpp,tls.c,0.8074221282541015
302,VCE_7_unvalidated_multithreading.cpp,tls13.c,0.8334597320997904
303,VCE_7_unvalidated_multithreading.cpp,wolfio.c,0.767187698654013
304,VCE_7_unvalidated_multithreading.cpp,x509.c,0.7519836728264109
305,VCE_7_unvalidated_multithreading.cpp,x509_str.c,0.785503236254138
